latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.94903,-72.30768,9.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),daylight_duration (s)
2011-07-14,2,0.00,0.00,0.0,53479.22
2011-07-15,3,0.00,0.00,0.0,53398.62
2011-07-16,3,0.00,0.00,0.0,53315.46
2011-07-17,1,0.00,0.00,0.0,53229.82
2011-07-18,51,0.30,0.30,1.0,53141.80
2011-07-19,3,0.00,0.00,0.0,53051.51
2011-07-20,3,0.00,0.00,0.0,52958.76
2011-07-21,3,0.00,0.00,0.0,52862.78
2011-07-22,3,0.00,0.00,0.0,52763.65
2011-07-23,3,0.00,0.00,0.0,52661.53
2011-07-24,53,2.20,2.20,4.0,52556.56
2011-07-25,53,3.20,3.20,6.0,52448.89
2011-07-26,51,1.20,1.20,6.0,52338.66
2011-07-27,3,0.00,0.00,0.0,52226.02
2011-07-28,3,0.00,0.00,0.0,52111.11
2011-07-29,51,0.40,0.40,3.0,51994.07
2011-07-30,3,0.00,0.00,0.0,51875.02
2011-07-31,2,0.00,0.00,0.0,51754.11
2011-08-01,3,0.00,0.00,0.0,51631.48
2011-08-02,2,0.00,0.00,0.0,51507.23
2011-08-03,53,2.60,2.60,7.0,51381.50
2011-08-04,53,2.00,2.00,3.0,51254.43
2011-08-05,2,0.00,0.00,0.0,51126.12
2011-08-06,51,0.50,0.50,2.0,50996.70
2011-08-07,63,21.80,21.80,15.0,50866.29
2011-08-08,1,0.00,0.00,0.0,50734.99
2011-08-09,63,20.00,20.00,9.0,50602.59
2011-08-10,3,0.00,0.00,0.0,50468.10
2011-08-11,0,0.00,0.00,0.0,50331.59
2011-08-12,3,0.00,0.00,0.0,50193.19
2011-08-13,3,0.00,0.00,0.0,50053.05
2011-08-14,63,33.10,33.10,21.0,49911.29
2011-08-15,63,31.20,31.20,22.0,49768.04
2011-08-16,51,0.10,0.10,1.0,49623.43
2011-08-17,0,0.00,0.00,0.0,49477.60
2011-08-18,53,1.00,1.00,2.0,49330.66
